city,city_ascii,region_id,lat,lng,population,density,id
New York,New York,NY,40.6943,-73.9249,18972871,10768.2,1840034016
Los Angeles,Los Angeles,CA,34.1141,-118.4068,12121244,3267.6,1840020491
Chicago,Chicago,IL,41.8375,-87.6866,8595181,4576.6,1840000494
Miami,Miami,FL,25.784,-80.2101,5711945,4945.7,1840015149
Dallas,Dallas,TX,32.7935,-96.7667,5668165,1522.2,1840019440
Houston,Houston,TX,29.786,-95.3885,5650910,1394.6,1840020925
Philadelphia,Philadelphia,PA,40.0077,-75.1339,5512873,4544.9,1840000673
Atlanta,Atlanta,GA,33.7628,-84.422,5046555,1419.9,1840013660
Washington,Washington,DC,38.9047,-77.0163,4810669,4434,1840006060
Boston,Boston,MA,42.3188,-71.0852,4208580,5505.8,1840000455
Phoenix,Phoenix,AZ,33.5722,-112.0892,4047095,1235.5,1840020568
Detroit,Detroit,MI,42.3834,-83.1024,3522856,1871.2,1840003971
Seattle,Seattle,WA,47.6211,-122.3244,3438221,3412.2,1840021117
San Francisco,San Francisco,CA,37.7558,-122.4449,3290197,7199.4,1840021543
San Diego,San Diego,CA,32.8313,-117.1222,3084174,1675.9,1840021990
Minneapolis,Minneapolis,MN,44.9635,-93.2678,2856952,3035.5,1840007830
Brooklyn,Brooklyn,NY,40.6501,-73.9496,2736074,15200.5,1840034030
Tampa,Tampa,FL,27.9945,-82.4447,2683956,1340.7,1840015982
Denver,Denver,CO,39.762,-104.8758,2650725,1805.7,1840018789
Queens,Queens,NY,40.7498,-73.7976,2405464,8503.7,1840034002
Baltimore,Baltimore,MD,39.3051,-76.6144,2205092,2872.8,1840001592
Las Vegas,Las Vegas,NV,36.2333,-115.2654,2150373,1754.7,1840020364
St. Louis,St. Louis,MO,38.6359,-90.2451,2092481,1905.7,1840001651
Portland,Portland,OR,45.5371,-122.65,2036875,1881.6,1840019941
Riverside,Riverside,CA,33.9381,-117.3949,2022285,1557,1840020551
Orlando,Orlando,FL,28.4773,-81.337,1927699,992,1840015099
Sacramento,Sacramento,CA,38.5677,-121.4685,1924167,1971.3,1840021491
San Juan,San Juan,PR,18.3985,-66.061,1915105,2982.2,1630035577
San Antonio,San Antonio,TX,29.4632,-98.5238,1910785,1184.5,1840022220
San Jose,San Jose,CA,37.3012,-121.848,1729879,2229,1840021570
Pittsburgh,Pittsburgh,PA,40.4397,-79.9763,1720279,2100.7,1840001254
Cincinnati,Cincinnati,OH,39.1413,-84.506,1712287,1500.2,1840003814
Manhattan,Manhattan,NY,40.7834,-73.9662,1694263,28653.9,1840034000
Cleveland,Cleveland,OH,41.4764,-81.6805,1683059,1904,1840000596
Indianapolis,Indianapolis,IN,39.7771,-86.1458,1659305,928.2,1840030084
Austin,Austin,TX,30.3005,-97.7522,1659251,1165.6,1840019590
Kansas City,Kansas City,MO,39.1238,-94.5541,1644497,602.6,1840008535
Columbus,Columbus,OH,39.9862,-82.9855,1556848,1559.5,1840003760
Charlotte,Charlotte,NC,35.2083,-80.8303,1516107,1091,1840014557
Virginia Beach,Virginia Beach,VA,36.7335,-76.0435,1500764,711.4,1840003871
Bronx,Bronx,NY,40.8501,-73.8662,1472654,13356.3,1840033999
Milwaukee,Milwaukee,WI,43.0642,-87.9675,1340981,2379,1840003046
Providence,Providence,RI,41.823,-71.4187,1270149,3764.8,1840003289
Jacksonville,Jacksonville,FL,30.3322,-81.6749,1220191,466.3,1840015031
Salt Lake City,Salt Lake City,UT,40.7776,-111.9311,1135344,700.3,1840021383
Nashville,Nashville,TN,36.1715,-86.7842,1098486,541.3,1840036155
Raleigh,Raleigh,NC,35.8324,-78.6429,1062018,1232.8,1840014497
Memphis,Memphis,TN,35.1087,-89.9663,1034498,852.1,1840015457
Louisville,Louisville,KY,38.1663,-85.6485,1022630,907.6,1840030815
Richmond,Richmond,VA,37.5295,-77.4756,1008069,1477,1840001698
Buffalo,Buffalo,NY,42.9018,-78.8487,1004655,2446.1,1840000386
Oklahoma City,Oklahoma City,OK,35.4676,-97.5136,994284,413.7,1840020428
Bridgeport,Bridgeport,CT,41.1918,-73.1954,975078,3485.4,1840004836
New Orleans,New Orleans,LA,30.0687,-89.9288,925443,891.2,1840001839
Fort Worth,Fort Worth,TX,32.7817,-97.3474,908469,988.3,1840020696
Hartford,Hartford,CT,41.7661,-72.6834,907046,2722.5,1840004773
Tucson,Tucson,AZ,32.1541,-110.8787,875284,873.6,1840022101
Honolulu,Honolulu,HI,21.3294,-157.846,835291,2214.1,1840013305
McAllen,McAllen,TX,26.2252,-98.2467,809002,883.4,1840021024
Omaha,Omaha,NE,41.2627,-96.0529,806485,1299.2,1840009315
El Paso,El Paso,TX,31.8476,-106.43,794344,1015.8,1840023252
Albuquerque,Albuquerque,NM,35.1054,-106.6465,765693,1155.5,1840019176
Rochester,Rochester,NY,43.168,-77.6162,737309,2227.6,1840000373
Sarasota,Sarasota,FL,27.3387,-82.5432,727388,1518.1,1840015988
Fresno,Fresno,CA,36.783,-119.7939,719558,1757.3,1840020319
Tulsa,Tulsa,OK,36.1283,-95.9042,715983,785.8,1840021672
Allentown,Allentown,PA,40.5961,-75.4756,714136,2663.3,1840001044
Dayton,Dayton,OH,39.7805,-84.2003,709300,971.7,1840034249
Birmingham,Birmingham,AL,33.5279,-86.7971,704676,553.9,1840006507
Charleston,Charleston,SC,32.8168,-79.9687,685517,460.9,1840015163
Cape Coral,Cape Coral,FL,26.6443,-81.9957,682773,690.5,1840015130
Columbia,Columbia,SC,34.0378,-80.9036,640502,377.3,1840014730
Concord,Concord,CA,37.9722,-122.0016,640270,1633.1,1840018905
Colorado Springs,Colorado Springs,CO,38.8674,-104.7605,628808,930,1840018825
Springfield,Springfield,MA,42.1155,-72.5395,620494,1861.8,1840000466
Knoxville,Knoxville,TN,35.9692,-83.9496,619925,733.3,1840014486
Baton Rouge,Baton Rouge,LA,30.442,-91.1311,610751,993.9,1840013941
Ogden,Ogden,UT,41.2279,-111.9682,608259,1221.9,1840020135
Grand Rapids,Grand Rapids,MI,42.9619,-85.6562,604311,1719.6,1840002928
Albany,Albany,NY,42.6664,-73.7987,604077,1747.3,1840000417
Bakersfield,Bakersfield,CA,35.3529,-119.0359,590845,979,1840019148
Mission Viejo,Mission Viejo,CA,33.6096,-117.6551,588540,2091,1840020580
New Haven,New Haven,CT,41.3113,-72.9246,587648,2693.4,1840004850
Worcester,Worcester,MA,42.2705,-71.8079,573573,1913.8,1840000434
Provo,Provo,UT,40.2457,-111.6457,551645,1082.6,1840020174
Akron,Akron,OH,41.0798,-81.5219,546549,1230.5,1840000791
Palm Bay,Palm Bay,FL,27.9631,-80.6593,528322,508.2,1840015094
Des Moines,Des Moines,IA,41.5725,-93.6105,514654,943.2,1840007069
Murrieta,Murrieta,CA,33.5719,-117.1909,509526,1310.3,1840020553
Mesa,Mesa,AZ,33.4015,-111.7178,497752,1415.7,1840020566
Staten Island,Staten Island,NY,40.5834,-74.1496,495747,3286.2,1840034032
Wichita,Wichita,KS,37.6895,-97.3443,491916,930.9,1840001686
Toledo,Toledo,OH,41.6638,-83.5827,490832,1319.7,1840000572
